Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,Genotype.Origin,Genotype.ID,Genotype.Rep,Date,Julian Day,Surivial,Flower.yes=1 ,Total Number of flowers,,Flower No (FROM biomass prior to outlier removed),Total Seeds,Avg No Seeds Per Flower
SBI,Bowens Island,Short,2,17,Tall,FB,allopatric,TFB,TFB 3,C,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,18,Short,BI,sympatric,SBI,SBI 19,E,12-Dec,347,1,1,4,,4,340,85
SBI,Bowens Island,Short,2,19,Short,BI,sympatric,SBI,SBI 7,G,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,20,Short,FJ,sympatric,SFJ,SFJ 6,A,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,21,Tall,FB,allopatric,TFB,TFB 5,E,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,22,Tall,BI,allopatric,TBI,TBI 4,B,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,23,Short,BI,sympatric,SBI,SBI 20,E,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,24,Tall,BI,allopatric,TBI,TBI 21,D,12-Dec,347,1,1,2,,2,152,76
SBI,Bowens Island,Short,2,25,Tall,FJ,allopatric,TFJ,TFJ 24,F,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,26,Short,FB,sympatric,SFB,SFB 6,A,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,27,Tall,FJ,allopatric,TFJ,TFJ 13,D,12-Dec,347,0,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,28,Short,FB,sympatric,SFB,SFB 15,D,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,29,Short,FB,sympatric,SFB,SFB 2,C,12-Dec,347,1,0,,,NA,NA,NA
SBI,Bowens Island,Short,2,30,Short,FJ,sympatric,SFJ,SFJ 13,A,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,1,Tall,FB,allopatric,TFB,TFB 13,F,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,2,Short,FJ,sympatric,SFJ,SFJ 25,D,12-Dec,347,1,1,3,,1,100,100
SFB,Folly Beach,Short,3,3,Tall,BI,allopatric,TBI,TBI 14,B,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,4,Short,FJ,sympatric,SFJ,SFJ 20,F,12-Dec,347,1,1,1,,NA,NA,NA
SFB,Folly Beach,Short,3,5,Tall,BI,allopatric,TBI,TBI 6,D,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,6,Short,BI,sympatric,SBI,SBI 7,H,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,7,Short,FB,sympatric,SFB,SFB 6,G,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,8,Tall,FJ,allopatric,TFJ,TFJ 24,H,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,9,Tall,FJ,allopatric,TFJ,TFJ 20,E,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,10,Short,BI,sympatric,SBI,SBI 1,A,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,11,Tall,BI,allopatric,TBI,TBI 1 ,C,12-Dec,347,1,1,2,,2,115,57.5
SFB,Folly Beach,Short,3,12,Tall,FB,allopatric,TFB,TFB 25,D,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,13,Short,BI,sympatric,SBI,SBI 9,G,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,14,Short,FB,sympatric,SFB,SFB 4,G,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,15,Tall,FJ,allopatric,TFJ,TFJ 17,A,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,16,Tall,FJ,allopatric,TFJ,TFJ 5,C,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,17,Short,BI,sympatric,SBI,SBI 10,D,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,18,Tall,BI,allopatric,TBI,TBI 19,G,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,19,Tall,BI,allopatric,TBI,TBI 22,F,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,20,Tall,FB,allopatric,TFB,TFB 4,C,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,21,Tall,FB,allopatric,TFB,TFB 10,C,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,22,Tall,FB,allopatric,TFB,TFB 5,C,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,23,Short,FB,sympatric,SFB,SFB 12,A,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,24,Short,FB,sympatric,SFB,SFB 11,E,12-Dec,347,1,1,1,,NA,NA,NA
SFB,Folly Beach,Short,3,25,Short,FJ,sympatric,SFJ,SFJ 16,C,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,26,Tall,FJ,allopatric,TFJ,TFJ 15,F,12-Dec,347,0,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,27,Short,FB,sympatric,SFB,SFB 15,A,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,28,Short,FJ,sympatric,SFJ,SFJ 8,G,12-Dec,347,1,0,,,NA,NA,NA
SFB,Folly Beach,Short,3,29,Short,BI,sympatric,SBI,SBI 16,H,12-Dec,347,1,0,,,NA,NA,NA
