Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,SA- sitexzone,Genotype.Origin,Genotype.ID,Genotype.Rep,Surivial,Flower.yes=1,Time,Total Number of flowers
SBI,Bowens Island,Short,2,27,Tall,FJ,allopatric,allopatric,TFJ,TFJ 13,D,0,0,30,
SBI,Bowens Island,Short,2,28,Short,FB,sympatric,allopatric,SFB,SFB 15,D,1,0,30,
SBI,Bowens Island,Short,2,29,Short,FB,sympatric,allopatric,SFB,SFB 2,C,1,0,30,
SBI,Bowens Island,Short,2,30,Short,FJ,sympatric,allopatric,SFJ,SFJ 13,A,1,0,30,
SFB,Folly Beach,Short,1,1,Tall,FB,allopatric,allopatric,TFB,TFB 13,F,1,0,30,
SFB,Folly Beach,Short,1,2,Short,FJ,sympatric,allopatric,SFJ,SFJ 25,D,1,1,18,3
SFB,Folly Beach,Short,1,3,Tall,BI,allopatric,allopatric,TBI,TBI 14,B,1,0,30,
SFB,Folly Beach,Short,1,4,Short,FJ,sympatric,allopatric,SFJ,SFJ 20,F,1,1,22,1
SFB,Folly Beach,Short,1,5,Tall,BI,allopatric,allopatric,TBI,TBI 6,D,1,0,30,
SFB,Folly Beach,Short,1,6,Short,BI,sympatric,allopatric,SBI,SBI 7,H,1,0,30,
SFB,Folly Beach,Short,1,7,Short,FB,sympatric,sympatric,SFB,SFB 6,G,1,0,30,
SFB,Folly Beach,Short,1,8,Tall,FJ,allopatric,allopatric,TFJ,TFJ 24,H,1,0,30,
SFB,Folly Beach,Short,1,9,Tall,FJ,allopatric,allopatric,TFJ,TFJ 20,E,1,0,30,
SFB,Folly Beach,Short,1,10,Short,BI,sympatric,allopatric,SBI,SBI 1,A,1,0,30,
SFB,Folly Beach,Short,1,11,Tall,BI,allopatric,allopatric,TBI,TBI 1 ,C,1,1,19,2
SFB,Folly Beach,Short,1,12,Tall,FB,allopatric,allopatric,TFB,TFB 25,D,1,0,30,
SFB,Folly Beach,Short,1,13,Short,BI,sympatric,allopatric,SBI,SBI 9,G,1,0,30,
SFB,Folly Beach,Short,1,14,Short,FB,sympatric,sympatric,SFB,SFB 4,G,1,0,30,
SFB,Folly Beach,Short,1,15,Tall,FJ,allopatric,allopatric,TFJ,TFJ 17,A,1,0,30,
SFB,Folly Beach,Short,1,16,Tall,FJ,allopatric,allopatric,TFJ,TFJ 5,C,1,0,30,
SFB,Folly Beach,Short,1,17,Short,BI,sympatric,allopatric,SBI,SBI 10,D,1,0,30,
SFB,Folly Beach,Short,1,18,Tall,BI,allopatric,allopatric,TBI,TBI 19,G,1,0,30,
SFB,Folly Beach,Short,1,19,Tall,BI,allopatric,allopatric,TBI,TBI 22,F,1,0,30,
SFB,Folly Beach,Short,1,20,Tall,FB,allopatric,allopatric,TFB,TFB 4,C,1,0,30,
SFB,Folly Beach,Short,1,21,Tall,FB,allopatric,allopatric,TFB,TFB 10,C,1,0,30,
SFB,Folly Beach,Short,1,22,Tall,FB,allopatric,allopatric,TFB,TFB 5,C,1,0,30,
SFB,Folly Beach,Short,1,23,Short,FB,sympatric,sympatric,SFB,SFB 12,A,1,0,30,
SFB,Folly Beach,Short,1,24,Short,FB,sympatric,sympatric,SFB,SFB 11,E,1,1,22,1
SFB,Folly Beach,Short,1,25,Short,FJ,sympatric,allopatric,SFJ,SFJ 16,C,1,0,30,
SFB,Folly Beach,Short,1,26,Tall,FJ,allopatric,allopatric,TFJ,TFJ 15,F,0,0,30,
SFB,Folly Beach,Short,1,27,Short,FB,sympatric,sympatric,SFB,SFB 15,A,1,0,30,
SFB,Folly Beach,Short,1,28,Short,FJ,sympatric,allopatric,SFJ,SFJ 8,G,1,0,30,
SFB,Folly Beach,Short,1,29,Short,BI,sympatric,allopatric,SBI,SBI 16,H,1,0,30,
SFB,Folly Beach,Short,1,30,Short,FJ,sympatric,allopatric,SFJ,SFJ 9,H,0,0,30,
SFB,Folly Beach,Short,2,1,Tall,FJ,allopatric,allopatric,TFJ,TFJ 1 ,F,1,1,18,3
SFB,Folly Beach,Short,2,2,Tall,BI,allopatric,allopatric,TBI,TBI 3,G,1,0,30,
SFB,Folly Beach,Short,2,3,Tall,FJ,allopatric,allopatric,TFJ,TFJ 16,D,1,0,30,
SFB,Folly Beach,Short,2,4,Short,FB,sympatric,sympatric,SFB,SFB 2,F,0,0,30,
SFB,Folly Beach,Short,2,5,Tall,BI,allopatric,allopatric,TBI,TBI 21,H,1,1,22,1
SFB,Folly Beach,Short,2,6,Short,FJ,sympatric,allopatric,SFJ,SFJ 7,H,1,0,30,
SFB,Folly Beach,Short,2,7,Short,BI,sympatric,allopatric,SBI,SBI 20,H,1,0,30,
SFB,Folly Beach,Short,2,8,Short,FJ,sympatric,allopatric,SFJ,SFJ 6,B,1,1,20,2
SFB,Folly Beach,Short,2,9,Tall,BI,allopatric,allopatric,TBI,TBI 4,G,1,0,30,
SFB,Folly Beach,Short,2,10,Short,BI,sympatric,allopatric,SBI,SBI 15,A,1,1,18,1
SFB,Folly Beach,Short,2,11,Tall,BI,allopatric,allopatric,TBI,TBI 17,F,1,1,22,1
SFB,Folly Beach,Short,2,12,Short,BI,sympatric,allopatric,SBI,SBI 19,B,1,1,19,2
SFB,Folly Beach,Short,2,13,Tall,FB,allopatric,allopatric,TFB,TFB 3,G,1,0,30,
SFB,Folly Beach,Short,2,14,Short,FB,sympatric,sympatric,SFB,SFB 19,A,1,0,30,
SFB,Folly Beach,Short,2,15,Tall,FB,allopatric,allopatric,TFB,TFB 7,D,1,0,30,
SFB,Folly Beach,Short,2,16,Tall,FJ,allopatric,allopatric,TFJ,TFJ 19,C,1,0,30,
SFB,Folly Beach,Short,2,17,Tall,FJ,allopatric,allopatric,TFJ,TFJ 13,F,0,0,30,
SFB,Folly Beach,Short,2,18,Short,BI,sympatric,allopatric,SBI,SBI 6,C,1,0,30,
SFB,Folly Beach,Short,2,19,Tall,BI,allopatric,allopatric,TBI,TBI 11,H,1,0,30,
SFB,Folly Beach,Short,2,20,Tall,FJ,allopatric,allopatric,TFJ,TFJ 9,E,1,0,30,
SFB,Folly Beach,Short,2,21,Short,BI,sympatric,allopatric,SBI,SBI 2 ,E,1,1,18,2
SFB,Folly Beach,Short,2,22,Tall,FB,allopatric,allopatric,TFB,TFB 17,C,1,0,30,
SFB,Folly Beach,Short,2,23,Short,FJ,sympatric,allopatric,SFJ,SFJ 13,C,1,0,30,
SFB,Folly Beach,Short,2,24,Short,FB,sympatric,sympatric,SFB,SFB 9,C,0,0,30,
