Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,SA- sitexzone,Genotype.Origin,Genotype.ID,Genotype.Rep,Surivial,Flower.yes=1,Time,Total Number of flowers
TFJ,Fort Johnson,Tall,1,1,Tall,BI,sympatric,allopatric,TBI,TBI 17,G,1,0,30,
TFJ,Fort Johnson,Tall,1,2,Short,FJ,allopatric,allopatric,SFJ,SFJ 7,F,0,0,30,
TFJ,Fort Johnson,Tall,1,3,Short,BI,allopatric,allopatric,SBI,SBI 2,A,0,0,30,
TFJ,Fort Johnson,Tall,1,4,Tall,FJ,sympatric,sympatric,TFJ,TFJ 20,D,0,0,30,
TFJ,Fort Johnson,Tall,1,5,Tall,FB,sympatric,allopatric,TFB,TFB 12,E,0,0,30,
TFJ,Fort Johnson,Tall,1,6,Short,FB,allopatric,allopatric,SFB,SFB 19,C,0,0,30,
TFJ,Fort Johnson,Tall,1,7,Tall,FJ,sympatric,sympatric,TFJ,TFJ 17,B,1,0,30,
TFJ,Fort Johnson,Tall,1,8,Tall,FJ,sympatric,sympatric,TFJ,TFJ 9,F,1,0,30,
TFJ,Fort Johnson,Tall,1,9,Short,BI,allopatric,allopatric,SBI,SBI 9,C,1,0,30,
TFJ,Fort Johnson,Tall,1,10,Tall,FB,sympatric,allopatric,TFB,TFB 1,C,1,0,30,
TFJ,Fort Johnson,Tall,1,11,Short,FB,allopatric,allopatric,SFB,SFB 25,A,0,0,30,
TFJ,Fort Johnson,Tall,1,12,Short,BI,allopatric,allopatric,SBI,SBI 16,E,0,0,30,
TFJ,Fort Johnson,Tall,1,13,Tall,BI,sympatric,allopatric,TBI,TBI 19,E,1,0,30,
TFJ,Fort Johnson,Tall,1,14,Short,FJ,allopatric,allopatric,SFJ,SFJ 13,E,1,0,30,
TFJ,Fort Johnson,Tall,1,15,Tall,FB,sympatric,allopatric,TFB,TFB 25,F,0,0,30,
TFJ,Fort Johnson,Tall,1,16,Tall,BI,sympatric,allopatric,TBI,TBI 4,C,0,0,30,
TFJ,Fort Johnson,Tall,1,17,Tall,FB,sympatric,allopatric,TFB,TFB 10,H,0,0,30,
TFJ,Fort Johnson,Tall,1,18,Short,BI,allopatric,allopatric,SBI,SBI 20,A,NA,0,30,
TFJ,Fort Johnson,Tall,1,19,Short,FJ,allopatric,allopatric,SFJ,SFJ 6,H,1,0,30,
TFJ,Fort Johnson,Tall,1,20,Tall,FJ,sympatric,sympatric,TFJ,TFJ 15,A,0,0,30,
TFJ,Fort Johnson,Tall,1,21,Short,FB,allopatric,allopatric,SFB,SFB 23,D,NA,0,30,
TFJ,Fort Johnson,Tall,1,22,Tall,BI,sympatric,allopatric,TBI,TBI 14,A,0,0,30,
TFJ,Fort Johnson,Tall,1,23,Short,BI,allopatric,allopatric,SBI,SBI 19,D,1,0,30,
TFJ,Fort Johnson,Tall,1,24,Short,FJ,allopatric,allopatric,SFJ,SFJ 16,F,1,0,30,
TFJ,Fort Johnson,Tall,1,25,Short,FJ,allopatric,allopatric,SFJ,SFJ 9,F,0,0,30,
TFJ,Fort Johnson,Tall,1,26,Short,FB,allopatric,allopatric,SFB,SFB 6,B,0,0,30,
TFJ,Fort Johnson,Tall,1,27,Tall,FB,sympatric,allopatric,TFB,TFB 7,G,1,0,30,
TFJ,Fort Johnson,Tall,1,28,Short,FB,allopatric,allopatric,SFB,SFB 15,C,0,0,30,
TFJ,Fort Johnson,Tall,1,29,Tall,BI,sympatric,allopatric,TBI,TBI 3,A,1,0,30,
TFJ,Fort Johnson,Tall,1,30,Tall,FJ,sympatric,sympatric,TFJ,TFJ 16,Z,0,0,30,
TFJ,Fort Johnson,Tall,2,1,Tall,FJ,sympatric,sympatric,TFJ,TFJ 5,A,0,0,30,
TFJ,Fort Johnson,Tall,2,2,Tall,FJ,sympatric,sympatric,TFJ,TFJ 13,E,1,0,30,
TFJ,Fort Johnson,Tall,2,3,Tall,FB,sympatric,allopatric,TFB,TFB 17,E,1,0,30,
TFJ,Fort Johnson,Tall,2,4,Tall,FJ,sympatric,sympatric,TFJ,TFJ 1,C,1,0,30,
TFJ,Fort Johnson,Tall,2,5,Tall,BI,sympatric,allopatric,TBI,TBI 21,F,1,1,22,2
TFJ,Fort Johnson,Tall,2,6,Tall,BI,sympatric,allopatric,TBI,TBI 11,B,1,0,30,
TFJ,Fort Johnson,Tall,2,7,Tall,BI,sympatric,allopatric,TBI,TBI 6,E,1,0,30,
TFJ,Fort Johnson,Tall,2,8,Short,FJ,allopatric,allopatric,SFJ,SFJ 20,B,1,0,30,
TFJ,Fort Johnson,Tall,2,9,Short,FJ,allopatric,allopatric,SFJ,SFJ 12,E,1,0,30,
TFJ,Fort Johnson,Tall,2,10,Short,BI,allopatric,allopatric,SBI,SBI 6,F,1,0,30,
TFJ,Fort Johnson,Tall,2,11,Short,BI,allopatric,allopatric,SBI,SBI 7,E,1,0,30,
TFJ,Fort Johnson,Tall,2,12,Short,FB,allopatric,allopatric,SFB,SFB 9,F,0,0,30,
TFJ,Fort Johnson,Tall,2,13,Short,FB,allopatric,allopatric,SFB,SFB 11,F,1,0,30,
TFJ,Fort Johnson,Tall,2,14,Short,FJ,allopatric,allopatric,SFJ,SFJ 8,E,1,0,30,
TFJ,Fort Johnson,Tall,2,15,Short,FB,allopatric,allopatric,SFB,SFB 2,G,NA,0,30,
TFJ,Fort Johnson,Tall,2,16,Tall,FJ,sympatric,sympatric,TFJ,TFJ 24,E,1,0,30,
TFJ,Fort Johnson,Tall,2,17,Short,BI,allopatric,allopatric,SBI,SBI 15,D,1,0,30,
TFJ,Fort Johnson,Tall,2,18,Short,BI,allopatric,allopatric,SBI,SBI 1,F,0,0,30,
TFJ,Fort Johnson,Tall,2,19,Tall,BI,sympatric,allopatric,TBI,TBI 1,G,1,0,30,
TFJ,Fort Johnson,Tall,2,20,Short,FJ,allopatric,allopatric,SFJ,SFJ 25,B,1,0,30,
TFJ,Fort Johnson,Tall,2,21,Short,FB,allopatric,allopatric,SFB,SFB 12,E,0,0,30,
TFJ,Fort Johnson,Tall,2,22,Tall,FJ,sympatric,sympatric,TFJ,TFJ 19,F,1,0,30,
TFJ,Fort Johnson,Tall,2,23,Short,BI,allopatric,allopatric,SBI,SBI 10,H,1,0,30,
TFJ,Fort Johnson,Tall,2,24,Tall,FB,sympatric,allopatric,TFB,TFB 13,A,NA,0,30,
TFJ,Fort Johnson,Tall,2,25,Short,FB,allopatric,allopatric,SFB,SFB 4,A,NA,0,30,
TFJ,Fort Johnson,Tall,2,26,Tall,FB,sympatric,allopatric,TFB,TFB 4,D,1,0,30,
TFJ,Fort Johnson,Tall,2,27,Tall,FB,sympatric,allopatric,TFB,TFB 3,F,NA,0,30,
TFJ,Fort Johnson,Tall,2,28,Tall,BI,sympatric,allopatric,TBI,TBI 22,C,NA,0,30,
TFJ,Fort Johnson,Tall,2,29,Tall,FB,sympatric,allopatric,TFB,TFB 3,E,NA,0,30,
TFJ,Fort Johnson,Tall,2,30,Short,FJ,allopatric,allopatric,SFJ,SFJ 22,C,NA,0,30,
TBI,Bowens Island,Tall,1,1,Short,FJ,allopatric,,SFJ,SFJ 13,D,0,0,30,
TBI,Bowens Island,Tall,1,2,Short,FJ,allopatric,,SFJ,SFJ 7,B,0,0,30,
TBI,Bowens Island,Tall,1,3,Tall,BI,sympatric,,TBI,TBI 14,F,0,0,30,
TBI,Bowens Island,Tall,1,4,Tall,FB,sympatric,,TFB,TFB 7,H,0,0,30,
TBI,Bowens Island,Tall,1,5,Short,FJ,allopatric,,SFJ,SFJ 8,B,0,0,30,
TBI,Bowens Island,Tall,1,6,Short,FJ,allopatric,,SFJ,SFJ 22,G,0,0,30,
TBI,Bowens Island,Tall,1,7,Tall,BI,sympatric,,TBI,TBI 11,D,0,0,30,
TBI,Bowens Island,Tall,1,8,Short,BI,allopatric,,SBI,SBI 10,G,0,0,30,
TBI,Bowens Island,Tall,1,9,Short,FB,allopatric,,SFB,SFB 11,A,0,0,30,
TBI,Bowens Island,Tall,1,10,Tall,FJ,sympatric,,TFJ,TFJ 20,F,0,0,30,
TBI,Bowens Island,Tall,1,11,Short,BI,allopatric,,SBI,SBI 20,F,0,0,30,
TBI,Bowens Island,Tall,1,12,Short,FB,allopatric,,SFB,SFB 9,A,0,0,30,
TBI,Bowens Island,Tall,1,13,Short,FB,allopatric,,SFB,SFB 23,F,0,0,30,
TBI,Bowens Island,Tall,1,14,Tall,FJ,sympatric,,TFJ,TFJ 15,E,0,0,30,
TBI,Bowens Island,Tall,1,15,Short,BI,allopatric,,SBI,SBI 2,B,0,0,30,
TBI,Bowens Island,Tall,1,16,Short,BI,allopatric,,SBI,SBI 6,B,0,0,30,
TBI,Bowens Island,Tall,1,17,Tall,FJ,sympatric,,TFJ,TFJ 1,H,0,0,30,
TBI,Bowens Island,Tall,1,18,Tall,FJ,sympatric,,TFJ,TFJ 19,D,0,0,30,
TBI,Bowens Island,Tall,1,19,Short,FJ,allopatric,,SFJ,SFJ 6,G,0,0,30,
TBI,Bowens Island,Tall,1,20,Tall,FB,sympatric,,TFB,TFB 17,D,0,0,30,
TBI,Bowens Island,Tall,1,21,Tall,FB,sympatric,,TFB,TFB 10,F,0,0,30,
TBI,Bowens Island,Tall,1,22,Tall,BI,sympatric,,TBI,TBI 6,C,0,0,30,
TBI,Bowens Island,Tall,1,23,Tall,BI,sympatric,,TBI,TBI 1,B,0,0,30,
TBI,Bowens Island,Tall,1,24,Tall,FB,sympatric,,TFB,TFB 5,B,0,0,30,
TBI,Bowens Island,Tall,1,25,Tall,FB,sympatric,,TFB,TFB 12,D,0,0,30,
TBI,Bowens Island,Tall,1,26,Short,FB,allopatric,,SFB,SFB 15,B,0,0,30,
TBI,Bowens Island,Tall,1,27,Short,FB,allopatric,,SFB,SFB 6,F,0,0,30,
TBI,Bowens Island,Tall,1,28,Short,BI,allopatric,,SBI,SBI 7,D,0,0,30,
TBI,Bowens Island,Tall,1,29,Tall,FJ,sympatric,,TFJ,TFJ 17,E,0,0,30,
TBI,Bowens Island,Tall,1,30,Tall,FB,sympatric,,TFB,TFB 4,B,0,0,30,
TBI,Bowens Island,Tall,2,1,Short,FB,allopatric,,SFB,SFB 2,E,0,0,30,
TBI,Bowens Island,Tall,2,2,Tall,FJ,sympatric,,TFJ,TFJ 9,B,0,0,30,
TBI,Bowens Island,Tall,2,3,Short,FB,allopatric,,SFB,SFB 25,F,0,0,30,
TBI,Bowens Island,Tall,2,4,Short,BI,allopatric,,SBI,SBI 19,G,0,0,30,
TBI,Bowens Island,Tall,2,5,Tall,FB,sympatric,,TFB,TFB 1,D,0,0,30,
TBI,Bowens Island,Tall,2,6,Tall,BI,sympatric,,TBI,TBI 4,H,0,0,30,
TBI,Bowens Island,Tall,2,7,Short,FJ,allopatric,,SFJ,SFJ 20,E,0,0,30,
TBI,Bowens Island,Tall,2,8,Tall,FJ,sympatric,,TFJ,TFJ 24,C,0,0,30,
TBI,Bowens Island,Tall,2,9,Tall,FJ,sympatric,,TFJ,TFJ 16,G,0,0,30,
TBI,Bowens Island,Tall,2,10,Short,BI,allopatric,,SBI,SBI 16,A,0,0,30,
TBI,Bowens Island,Tall,2,11,Short,BI,allopatric,,SBI,SBI 15,G,0,0,30,
TBI,Bowens Island,Tall,2,12,Tall,FJ,sympatric,,TFJ,TFJ 13,C,0,0,30,
TBI,Bowens Island,Tall,2,13,Tall,FB,sympatric,,TFB,TFB 3,D,0,0,30,
TBI,Bowens Island,Tall,2,14,Tall,BI,sympatric,,TBI,TBI 17,C,0,0,30,
TBI,Bowens Island,Tall,2,15,Short,BI,allopatric,,SBI,SBI 1,G,0,0,30,
TBI,Bowens Island,Tall,2,16,Short,FJ,allopatric,,SFJ,SFJ 12,B,0,0,30,
TBI,Bowens Island,Tall,2,17,Short,FJ,allopatric,,SFJ,SFJ 16,E,0,0,30,
TBI,Bowens Island,Tall,2,18,Tall,BI,sympatric,,TBI,TBI 21,B,0,0,30,
TBI,Bowens Island,Tall,2,19,Tall,BI,sympatric,,TBI,TBI 3,H,0,0,30,
TBI,Bowens Island,Tall,2,20,Tall,BI,sympatric,,TBI,TBI 22,G,0,0,30,
TBI,Bowens Island,Tall,2,21,Short,FB,allopatric,,SFB,SFB 12,H,0,0,30,
TBI,Bowens Island,Tall,2,22,Short,FJ,allopatric,,SFJ,SFJ 25,G,0,0,30,
TBI,Bowens Island,Tall,2,23,Short,FB,allopatric,,SFB,SFB 4,F,0,0,30,
TBI,Bowens Island,Tall,2,24,Short,FJ,allopatric,,SFJ,SFJ 9,G,0,0,30,
TBI,Bowens Island,Tall,2,25,Tall,BI,sympatric,,TBI,TBI 19,F,0,0,30,
TBI,Bowens Island,Tall,2,26,Tall,FB,sympatric,,TFB,TFB 13,H,0,0,30,
TBI,Bowens Island,Tall,2,27,Short,BI,allopatric,,SBI,SBI 9,F,0,0,30,
TBI,Bowens Island,Tall,2,28,Short,FB,allopatric,,SFB,SFB 19,F,0,0,30,
TBI,Bowens Island,Tall,2,29,Tall,FB,sympatric,,TFB,TFB 25,G,0,0,30,
TBI,Bowens Island,Tall,2,30,Tall,FJ,sympatric,,TFJ,TFJ 5,H,0,0,30,
