Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,SA- sitexzone,Genotype.Origin,Genotype.ID,Genotype.Rep,Date,Surivial,# Live Stems,Average Height,max Height,Flowering.Yes,Flowering.No,Survival.Yes,Survival.No,num.live.stems,Aboveground Biomass (g),Belowground Biomass (g),Above:below,Total biomass,Transplant ID Description,Flower No,Total Seeds,Avg No Seeds Per Flower,Days.since.May04,Total Seeds with zeros,Above-to-Total,Below-to-Total
SBI,Bowens Island,Short,2,5,Short,FB,sympatric,allopatric,SFB,SFB 4,B,12/13/16,1,2,12,14,0,1,1,0,2,NA,1.219,NA,NA,NA,NA,NA,NA,NA,0,,
SFJ,Fort Johnson,Short,1,25,Tall,BI,allopatric,allopatric,TBI,TBI 1,A,2012-11-16,1,16,20.4375,41,1,0,1,0,16,NA,15.419,NA,NA,TBI-1,1,1,1,170,1,,
SFJ,Fort Johnson,Short,2,13,Short,FJ,sympatric,sympatric,SFJ,SFJ 12,C,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,0.039,NA,NA,NA,NA,NA,NA,NA,NA,0,,
SFJ,Fort Johnson,Short,1,29,Short,BI,sympatric,allopatric,SBI,SBI 6,G,,,,#DIV/0!,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
SFJ,Fort Johnson,Short,1,30,Short,FB,sympatric,allopatric,SFB,SFB 9,D,,,,#DIV/0!,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
SFJ,Fort Johnson,Short,2,25,Short,FB,sympatric,allopatric,SFB,SFB 11,H,2012-11-16,1,17,18.11764706,42,0,1,1,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFB,Folly Beach,Tall,1,20,Short,BI,allopatric,allopatric,SBI,SBI 15,E,2012-12-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,1,16,Tall,BI,sympatric,allopatric,TBI,TBI 4,C,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,1,17,Tall,FB,sympatric,allopatric,TFB,TFB 10,H,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,1,18,Short,BI,allopatric,allopatric,SBI,SBI 20,A,2012-11-16,,,#DIV/0!,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,1,21,Short,FB,allopatric,allopatric,SFB,SFB 23,D,2012-11-16,,,#DIV/0!,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,1,22,Tall,BI,sympatric,allopatric,TBI,TBI 14,A,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,1,25,Short,FJ,allopatric,allopatric,SFJ,SFJ 9,F,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,1,30,Tall,FJ,sympatric,sympatric,TFJ,TFJ 16,Z,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,1,Tall,FJ,sympatric,sympatric,TFJ,TFJ 5,A,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,12,Short,FB,allopatric,allopatric,SFB,SFB 9,F,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,21,Short,FB,allopatric,allopatric,SFB,SFB 12,E,2012-11-16,0,0,#DIV/0!,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,24,Tall,FB,sympatric,allopatric,TFB,TFB 13,A,2012-11-16,,,#DIV/0!,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,25,Short,FB,allopatric,allopatric,SFB,SFB 4,A,2012-11-16,,,#DIV/0!,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,27,Tall,FB,sympatric,allopatric,TFB,TFB 3,F,2012-11-16,,,#DIV/0!,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,28,Tall,BI,sympatric,allopatric,TBI,TBI 22,C,2012-11-16,,,#DIV/0!,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,29,Tall,FB,sympatric,allopatric,TFB,TFB 3,E,2012-11-16,,,#DIV/0!,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
TFJ,Fort Johnson,Tall,2,30,Short,FJ,allopatric,allopatric,SFJ,SFJ 22,C,2012-11-16,,,#DIV/0!,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,
