Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,SA- sitexzone,Genotype.Origin,Genotype.ID,Genotype.Rep,Surivial1,Flower1,Time,NumberFlower1
SFJ,Fort Johnson,Short,5,13,Short,BI,sympatric,allopatric,SBI,SBI 10,A,1,0,30,0
SFJ,Fort Johnson,Short,5,14,Short,BI,sympatric,allopatric,SBI,SBI 16,G ,1,0,30,0
SFJ,Fort Johnson,Short,5,15,Tall,FJ,allopatric,allopatric,TFJ,TFJ 24,D,1,0,30,0
SFJ,Fort Johnson,Short,5,16,Tall,FB,allopatric,allopatric,TFB,TFB 7,C,1,0,30,0
SFJ,Fort Johnson,Short,5,17,Short,FJ,sympatric,sympatric,SFJ,SFJ 8,F,1,0,30,0
SFJ,Fort Johnson,Short,5,18,Tall,BI,allopatric,allopatric,TBI,TBI 6,A,1,0,30,0
SFJ,Fort Johnson,Short,5,19,Tall,FJ,allopatric,allopatric,TFJ,TFJ 5,G ,1,0,30,0
SFJ,Fort Johnson,Short,5,20,Short,FJ,sympatric,sympatric,SFJ,SFJ 13,F,1,1,18,1
SFJ,Fort Johnson,Short,5,21,Tall,BI,allopatric,allopatric,TBI,TBI 11,C,1,0,30,0
SFJ,Fort Johnson,Short,5,22,Short,BI,sympatric,allopatric,SBI,SBI 20,C,0,0,30,0
SFJ,Fort Johnson,Short,5,23,Tall,FB,allopatric,allopatric,TFB,TFB 3,A,1,0,30,0
SFJ,Fort Johnson,Short,5,24,Short,FB,sympatric,allopatric,SFB,SFB 25,C,1,0,30,0
SFJ,Fort Johnson,Short,5,25,Tall,BI,allopatric,allopatric,TBI,TBI 1,A,1,1,23,1
SFJ,Fort Johnson,Short,5,26,Tall,BI,allopatric,allopatric,TBI,TBI 4,D,0,0,30,0
SFJ,Fort Johnson,Short,5,27,Tall,FB,allopatric,allopatric,TFB,TFB 4,A,1,0,30,0
SFJ,Fort Johnson,Short,5,28,Short,FB,sympatric,allopatric,SFB,SFB 12,F,1,0,30,0
SFJ,Fort Johnson,Short,6,1,Short,FJ,sympatric,sympatric,SFJ,SFJ 7,E,0,0,30,0
SFJ,Fort Johnson,Short,6,2,Tall,FJ,allopatric,allopatric,TFJ,TFJ 17,F,1,0,30,0
SFJ,Fort Johnson,Short,6,3,Short,FB,sympatric,allopatric,SFB,SFB 15,E,1,0,30,0
SFJ,Fort Johnson,Short,6,4,Short,FJ,sympatric,sympatric,SFJ,SFJ 6,F,1,0,30,0
SFJ,Fort Johnson,Short,6,5,Tall,FB,allopatric,allopatric,TFB,TFB 12,B,1,0,30,0
SFJ,Fort Johnson,Short,6,6,Short,FJ,sympatric,sympatric,SFJ,SFJ 9,E,1,0,30,0
SFJ,Fort Johnson,Short,6,7,Short,FB,sympatric,allopatric,SFB,SFB 23,E,1,1,22,2
SFJ,Fort Johnson,Short,6,8,Short,BI,sympatric,allopatric,SBI,SBI 9,E,1,0,30,0
SFJ,Fort Johnson,Short,6,9,Tall,BI,allopatric,allopatric,TBI,TBI 3,D,1,0,30,0
SFJ,Fort Johnson,Short,6,10,Short,FJ,sympatric,sympatric,SFJ,SFJ 16,G,1,1,19,1
SFJ,Fort Johnson,Short,6,11,Tall,FJ,allopatric,allopatric,TFJ,TFJ 19,A,1,0,30,0
SFJ,Fort Johnson,Short,6,12,Tall,FB,allopatric,allopatric,TFB,TFB 17,F,1,0,30,0
SFJ,Fort Johnson,Short,6,13,Short,FJ,sympatric,sympatric,SFJ,SFJ 12,C,0,0,30,0
SFJ,Fort Johnson,Short,6,14,Tall,BI,allopatric,allopatric,TBI,TBI 19,H,1,0,30,0
SFJ,Fort Johnson,Short,6,15,Tall,FJ,allopatric,allopatric,TFJ,TFJ 1 ,B,1,0,30,0
SFJ,Fort Johnson,Short,6,16,Short,BI,sympatric,allopatric,SBI,SBI 19,H,1,0,30,0
SFJ,Fort Johnson,Short,6,17,Short,BI,sympatric,allopatric,SBI,SBI 15,F,1,0,30,0
SFJ,Fort Johnson,Short,6,18,Tall,BI,allopatric,allopatric,TBI,TBI 21,E,1,0,30,0
SFJ,Fort Johnson,Short,6,19,Tall,FJ,allopatric,allopatric,TFJ,TFJ 16,H,1,0,30,0
SFJ,Fort Johnson,Short,6,20,Tall,FB,allopatric,allopatric,TFB,TFB 13,C,1,0,30,0
SFJ,Fort Johnson,Short,6,21,Short,FB,sympatric,allopatric,SFB,SFB 2,B,1,0,30,0
SFJ,Fort Johnson,Short,6,22,Short,BI,sympatric,allopatric,SBI,SBI 2 ,H,1,0,30,0
SFJ,Fort Johnson,Short,6,23,Tall,FB,allopatric,allopatric,TFB,TFB 10,G ,1,0,30,0
SFJ,Fort Johnson,Short,6,24,Tall,FJ,allopatric,allopatric,TFJ,TFJ 20,H,1,0,30,0
SFJ,Fort Johnson,Short,6,25,Short,FB,sympatric,allopatric,SFB,SFB 11,H,1,0,30,0
SFJ,Fort Johnson,Short,6,26,Tall,BI,allopatric,allopatric,TBI,TBI 17,B,1,0,30,0
SFJ,Fort Johnson,Short,6,27,Tall,FB,allopatric,allopatric,TFB,TFB 25,E,0,0,30,0
SFJ,Fort Johnson,Short,6,28,Tall,BI,allopatric,allopatric,TBI,TBI 22,E,1,0,30,0
SFJ,Fort Johnson,Short,6,29,Short,BI,sympatric,allopatric,SBI,SBI 7,B,1,0,30,0
SFJ,Fort Johnson,Short,6,30,Short,FB,sympatric,allopatric,SFB,SFB 19,G,1,0,30,0
TFB,Folly Beach,Tall,7,1,Short,FB,allopatric,allopatric,SFB,SFB 9,E,0,0,30,0
TFB,Folly Beach,Tall,7,2,Tall,BI,sympatric,allopatric,TBI,TBI 3,B,0,0,30,0
TFB,Folly Beach,Tall,7,3,Tall,FJ,sympatric,allopatric,TFJ,TFJ 5,F,0,0,30,0
TFB,Folly Beach,Tall,7,4,Short,FB,allopatric,allopatric,SFB,SFB 12,D,0,0,30,0
TFB,Folly Beach,Tall,7,5,Short,FJ,allopatric,allopatric,SFJ,SFJ 7,G,0,0,30,0
TFB,Folly Beach,Tall,7,6,Tall,FB,sympatric,sympatric,TFB,TFB 12,C,0,0,30,0
TFB,Folly Beach,Tall,7,7,Short,FB,allopatric,allopatric,SFB,SFB 4,E,0,0,30,0
TFB,Folly Beach,Tall,7,8,Short,BI,allopatric,allopatric,SBI,SBI 7,F,0,0,30,0
TFB,Folly Beach,Tall,7,9,Tall,FJ,sympatric,allopatric,TFJ,TFJ 19,B,0,0,30,0
TFB,Folly Beach,Tall,7,10,Short,FJ,allopatric,allopatric,SFJ,SFJ 22,H,1,0,30,0
TFB,Folly Beach,Tall,7,11,Short,BI,allopatric,allopatric,SBI,SBI 19,A,1,0,30,0
TFB,Folly Beach,Tall,7,12,Tall,FJ,sympatric,allopatric,TFJ,TFJ 20,G,1,0,30,0
TFB,Folly Beach,Tall,7,13,Tall,BI,sympatric,allopatric,TBI,TBI 17,E,0,0,30,0
TFB,Folly Beach,Tall,7,14,Tall,FB,sympatric,sympatric,TFB,TFB 4,Z,0,0,30,0
TFB,Folly Beach,Tall,7,15,Short,BI,allopatric,allopatric,SBI,SBI 10,F,0,0,30,0
TFB,Folly Beach,Tall,7,16,Short,FB,allopatric,allopatric,SFB,SFB 19,D,0,0,30,0
TFB,Folly Beach,Tall,7,17,Short,FB,allopatric,allopatric,SFB,SFB 6,C,0,0,30,0
TFB,Folly Beach,Tall,7,18,Tall,BI,sympatric,allopatric,TBI,TBI 4,E,0,0,30,0
TFB,Folly Beach,Tall,7,19,Short,FJ,allopatric,allopatric,SFJ,SFJ 16,B,0,0,30,0
TFB,Folly Beach,Tall,7,20,Short,BI,allopatric,allopatric,SBI,SBI 15,E,0,0,30,0
TFB,Folly Beach,Tall,7,21,Tall,BI,sympatric,allopatric,TBI,TBI 22,A,0,0,30,0
TFB,Folly Beach,Tall,7,22,Short,FJ,allopatric,allopatric,SFJ,SFJ 25,C,0,0,30,0
TFB,Folly Beach,Tall,7,23,Tall,FJ,sympatric,allopatric,TFJ,TFJ 17,E,0,0,30,0
TFB,Folly Beach,Tall,7,24,Tall,BI,sympatric,allopatric,TBI,TBI 21,G,0,0,30,0
TFB,Folly Beach,Tall,7,25,Tall,FB,sympatric,sympatric,TFB,TFB 5,A,0,0,30,0
TFB,Folly Beach,Tall,7,26,Tall,FJ,sympatric,allopatric,TFJ,TFJ 15,C,0,0,30,0
TFB,Folly Beach,Tall,7,27,Tall,FB,sympatric,sympatric,TFB,TFB 1,E,0,0,30,0
TFB,Folly Beach,Tall,7,28,Short,BI,allopatric,allopatric,SBI,SBI 2,G,0,0,30,0
TFB,Folly Beach,Tall,7,29,Tall,FB,sympatric,sympatric,TFB,TFB 7,E,1,0,30,0
TFB,Folly Beach,Tall,7,30,Short,FJ,allopatric,allopatric,SFJ,SFJ 13,B,0,0,30,0
TFB,Folly Beach,Tall,8,1,Tall,BI,sympatric,allopatric,TBI,TBI 11,F,0,0,30,0
TFB,Folly Beach,Tall,8,2,Short,BI,allopatric,allopatric,SBI,SBI 6,E,1,0,30,0
TFB,Folly Beach,Tall,8,3,Tall,FJ,sympatric,allopatric,TFJ,TFJ 5,E,1,0,30,0
TFB,Folly Beach,Tall,8,4,Tall,FJ,sympatric,allopatric,TFJ,TFJ 9,D,0,0,30,0
TFB,Folly Beach,Tall,8,5,Tall,FB,sympatric,sympatric,TFB,TFB 3,B,0,0,30,0
TFB,Folly Beach,Tall,8,6,Tall,BI,sympatric,allopatric,TBI,TBI 14,E,1,0,30,0
TFB,Folly Beach,Tall,8,7,Tall,BI,sympatric,allopatric,TBI,TBI 1,F,0,0,30,0
TFB,Folly Beach,Tall,8,8,Tall,FB,sympatric,sympatric,TFB,TFB 17,H,1,0,30,0
TFB,Folly Beach,Tall,8,9,Short,FJ,allopatric,allopatric,SFJ,SFJ 12,G,0,0,30,0
TFB,Folly Beach,Tall,8,10,Tall,FJ,sympatric,allopatric,TFJ,TFJ 1,E,1,0,30,0
TFB,Folly Beach,Tall,8,11,Short,FB,allopatric,allopatric,SFB,SFB 2,,1,0,30,0
TFB,Folly Beach,Tall,8,12,Tall,FB,sympatric,sympatric,TFB,TFB 10,A,0,0,30,0
TFB,Folly Beach,Tall,8,13,Short,BI,allopatric,allopatric,SBI,SBI 16,D,0,0,30,0
TFB,Folly Beach,Tall,8,14,Short,FJ,allopatric,allopatric,SFJ,SFJ 6,D,0,0,30,0
TFB,Folly Beach,Tall,8,15,Short,BI,allopatric,allopatric,SBI,SBI 1,H,1,0,30,0
TFB,Folly Beach,Tall,8,16,Tall,BI,sympatric,allopatric,TBI,TBI 19,C,0,0,30,0
TFB,Folly Beach,Tall,8,17,Short,FB,allopatric,allopatric,SFB,SFB 11,D,0,0,30,0
TFB,Folly Beach,Tall,8,18,Short,FJ,allopatric,allopatric,SFJ,SFJ 20,A,0,0,30,0
TFB,Folly Beach,Tall,8,19,Short,FB,allopatric,allopatric,SFB,SFB 23,C,0,0,30,0
TFB,Folly Beach,Tall,8,20,Tall,BI,sympatric,allopatric,TBI,TBI 6,B,0,0,30,0
TFB,Folly Beach,Tall,8,21,Short,FB,allopatric,allopatric,SFB,SFB 15,F,1,0,30,0
TFB,Folly Beach,Tall,8,22,Tall,FJ,sympatric,allopatric,TFJ,TFJ 24,B,1,0,30,0
TFB,Folly Beach,Tall,8,23,Short,FJ,allopatric,allopatric,SFJ,SFJ 8,A,1,0,30,0
TFB,Folly Beach,Tall,8,24,Tall,FB,sympatric,sympatric,TFB,TFB 13,B,1,0,30,0
TFB,Folly Beach,Tall,8,25,Short,BI,allopatric,allopatric,SBI,SBI 20,D,1,0,30,0
TFB,Folly Beach,Tall,8,26,Tall,FB,sympatric,sympatric,TFB,TFB 25,A,1,0,30,0
TFB,Folly Beach,Tall,8,27,Short,FJ,allopatric,allopatric,SFJ,SFJ 9,C,1,0,30,0
TFB,Folly Beach,Tall,8,28,Short,FB,allopatric,allopatric,SFB,SFB 25,H,1,0,30,0
TFB,Folly Beach,Tall,8,29,Tall,FJ,sympatric,allopatric,TFJ,TFJ 13,B,1,0,30,0
TFB,Folly Beach,Tall,8,30,Short,BI,allopatric,allopatric,SBI,SBI 9,A,0,0,30,0
TFJ,Fort Johnson,Tall,9,1,Tall,BI,sympatric,allopatric,TBI,TBI 17,G,1,0,30,0
TFJ,Fort Johnson,Tall,9,2,Short,FJ,allopatric,allopatric,SFJ,SFJ 7,F,0,0,30,0
TFJ,Fort Johnson,Tall,9,3,Short,BI,allopatric,allopatric,SBI,SBI 2,A,0,0,30,0
TFJ,Fort Johnson,Tall,9,4,Tall,FJ,sympatric,sympatric,TFJ,TFJ 20,D,0,0,30,0
TFJ,Fort Johnson,Tall,9,5,Tall,FB,sympatric,allopatric,TFB,TFB 12,E,0,0,30,0
TFJ,Fort Johnson,Tall,9,6,Short,FB,allopatric,allopatric,SFB,SFB 19,C,0,0,30,0
