Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,SA- sitexzone,SA - site,Genotype.Origin,Genotype.ID,Genotype.Rep,Date,Julian Day,Surivial,Status,# Live Stems,max Height,Flowering.Yes
SBI,Bowens Island,Short,2,14,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 16,H,12-Dec,347,1,0,14,46,0
SBI,Bowens Island,Short,2,15,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 7,B,12-Dec,347,1,0,10,43,0
SBI,Bowens Island,Short,2,16,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 25,G,12-Dec,347,1,0,11,43,0
SBI,Bowens Island,Short,2,17,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 3,C,12-Dec,347,1,0,4,46,0
SBI,Bowens Island,Short,2,18,Short,BI,sympatric,sympatric,sympatric,SBI,SBI 19,E,12-Dec,347,1,0,7,30,1
SBI,Bowens Island,Short,2,19,Short,BI,sympatric,sympatric,sympatric,SBI,SBI 7,G,12-Dec,347,1,0,13,43,0
SBI,Bowens Island,Short,2,20,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 6,A,12-Dec,347,1,0,10,43,0
SBI,Bowens Island,Short,2,21,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 5,E,12-Dec,347,1,0,12,55,0
SBI,Bowens Island,Short,2,22,Tall,BI,allopatric,allopatric,sympatric,TBI,TBI 4,B,12-Dec,347,1,0,6,39,0
SBI,Bowens Island,Short,2,23,Short,BI,sympatric,sympatric,sympatric,SBI,SBI 20,E,12-Dec,347,1,0,14,57,0
SBI,Bowens Island,Short,2,24,Tall,BI,allopatric,allopatric,sympatric,TBI,TBI 21,D,12-Dec,347,1,0,14,48,1
SBI,Bowens Island,Short,2,25,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 24,F,12-Dec,347,1,0,7,69,0
SBI,Bowens Island,Short,2,26,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 6,A,12-Dec,347,1,0,10,34,0
SBI,Bowens Island,Short,2,27,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 13,D,12-Dec,347,0,1,NA,NA,NA
SBI,Bowens Island,Short,2,28,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 15,D,12-Dec,347,1,0,15,44,0
SBI,Bowens Island,Short,2,29,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 2,C,12-Dec,347,1,0,11,42,0
SBI,Bowens Island,Short,2,30,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 13,A,12-Dec,347,1,0,6,32,0
SFB,Folly Beach,Short,3,1,Tall,FB,allopatric,allopatric,sympatric,TFB,TFB 13,F,12-Dec,347,1,0,6,38,0
SFB,Folly Beach,Short,3,2,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 25,D,12-Dec,347,1,0,5,51,1
SFB,Folly Beach,Short,3,3,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 14,B,12-Dec,347,1,0,2,26,0
SFB,Folly Beach,Short,3,4,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 20,F,12-Dec,347,1,0,12,35,0
SFB,Folly Beach,Short,3,5,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 6,D,12-Dec,347,1,0,5,54,0
SFB,Folly Beach,Short,3,6,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 7,H,12-Dec,347,1,0,12,49,0
SFB,Folly Beach,Short,3,7,Short,FB,sympatric,sympatric,sympatric,SFB,SFB 6,G,12-Dec,347,1,0,6,28,0
SFB,Folly Beach,Short,3,8,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 24,H,12-Dec,347,1,0,10,47,0
SFB,Folly Beach,Short,3,9,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 20,E,12-Dec,347,1,0,1,3,0
SFB,Folly Beach,Short,3,10,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 1,A,12-Dec,347,1,0,12,40,0
SFB,Folly Beach,Short,3,11,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 1 ,C,12-Dec,347,1,0,14,46,1
SFB,Folly Beach,Short,3,12,Tall,FB,allopatric,allopatric,sympatric,TFB,TFB 25,D,12-Dec,347,1,0,7,48,0
SFB,Folly Beach,Short,3,13,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 9,G,12-Dec,347,1,0,6,44,0
SFB,Folly Beach,Short,3,14,Short,FB,sympatric,sympatric,sympatric,SFB,SFB 4,G,12-Dec,347,1,0,17,45,0
SFB,Folly Beach,Short,3,15,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 17,A,12-Dec,347,1,0,7,43,0
SFB,Folly Beach,Short,3,16,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 5,C,12-Dec,347,1,0,1,4,0
SFB,Folly Beach,Short,3,17,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 10,D,12-Dec,347,1,0,8,50,0
SFB,Folly Beach,Short,3,18,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 19,G,12-Dec,347,1,0,9,49,0
SFB,Folly Beach,Short,3,19,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 22,F,12-Dec,347,1,0,3,26,0
SFB,Folly Beach,Short,3,20,Tall,FB,allopatric,allopatric,sympatric,TFB,TFB 4,C,12-Dec,347,1,0,11,59,0
SFB,Folly Beach,Short,3,21,Tall,FB,allopatric,allopatric,sympatric,TFB,TFB 10,C,12-Dec,347,1,0,8,52,0
SFB,Folly Beach,Short,3,22,Tall,FB,allopatric,allopatric,sympatric,TFB,TFB 5,C,12-Dec,347,1,0,11,36,0
SFB,Folly Beach,Short,3,23,Short,FB,sympatric,sympatric,sympatric,SFB,SFB 12,A,12-Dec,347,1,0,13,32,0
SFB,Folly Beach,Short,3,24,Short,FB,sympatric,sympatric,sympatric,SFB,SFB 11,E,12-Dec,347,1,0,7,40,0
SFB,Folly Beach,Short,3,25,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 16,C,12-Dec,347,1,0,10,27,0
SFB,Folly Beach,Short,3,26,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 15,F,12-Dec,347,0,1,NA,NA,NA
SFB,Folly Beach,Short,3,27,Short,FB,sympatric,sympatric,sympatric,SFB,SFB 15,A,12-Dec,347,1,0,11,38,0
SFB,Folly Beach,Short,3,28,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 8,G,12-Dec,347,1,0,1,19,0
SFB,Folly Beach,Short,3,29,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 16,H,12-Dec,347,1,0,8,32,0
SFB,Folly Beach,Short,3,30,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 9,H,12-Dec,347,0,1,NA,NA,NA
SFB,Folly Beach,Short,4,1,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 1 ,F,12-Dec,347,1,0,9,47,1
SFB,Folly Beach,Short,4,2,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 3,G,12-Dec,347,1,0,15,43,0
SFB,Folly Beach,Short,4,3,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 16,D,12-Dec,347,1,0,10,53,0
SFB,Folly Beach,Short,4,4,Short,FB,sympatric,sympatric,sympatric,SFB,SFB 2,F,12-Dec,347,0,1,NA,NA,NA
SFB,Folly Beach,Short,4,5,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 21,H,12-Dec,347,1,0,10,47,0
SFB,Folly Beach,Short,4,6,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 7,H,12-Dec,347,1,0,18,45,0
SFB,Folly Beach,Short,4,7,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 20,H,12-Dec,347,1,0,11,56,0
SFB,Folly Beach,Short,4,8,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 6,B,12-Dec,347,1,0,16,35,1
SFB,Folly Beach,Short,4,9,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 4,G,12-Dec,347,1,0,10,47,0
SFB,Folly Beach,Short,4,10,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 15,A,12-Dec,347,1,0,11,33,1
SFB,Folly Beach,Short,4,11,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 17,F,12-Dec,347,1,0,9,42,1
SFB,Folly Beach,Short,4,12,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 19,B,12-Dec,347,1,0,10,41,1
SFB,Folly Beach,Short,4,13,Tall,FB,allopatric,allopatric,sympatric,TFB,TFB 3,G,12-Dec,347,1,0,10,36,0
SFB,Folly Beach,Short,4,14,Short,FB,sympatric,sympatric,sympatric,SFB,SFB 19,A,12-Dec,347,1,0,9,30,0
SFB,Folly Beach,Short,4,15,Tall,FB,allopatric,allopatric,sympatric,TFB,TFB 7,D,12-Dec,347,1,0,9,31,0
SFB,Folly Beach,Short,4,16,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 19,C,12-Dec,347,1,0,9,35,0
SFB,Folly Beach,Short,4,17,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 13,F,12-Dec,347,0,1,NA,NA,NA
SFB,Folly Beach,Short,4,18,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 6,C,12-Dec,347,1,0,15,28,0
SFB,Folly Beach,Short,4,19,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 11,H,12-Dec,347,1,0,18,44,0
SFB,Folly Beach,Short,4,20,Tall,FJ,allopatric,allopatric,allopatric,TFJ,TFJ 9,E,12-Dec,347,1,0,11,41,0
SFB,Folly Beach,Short,4,21,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 2 ,E,12-Dec,347,1,0,22,42,1
SFB,Folly Beach,Short,4,22,Tall,FB,allopatric,allopatric,sympatric,TFB,TFB 17,C,12-Dec,347,1,0,4,48,0
SFB,Folly Beach,Short,4,23,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 13,C,12-Dec,347,1,0,4,34,0
SFB,Folly Beach,Short,4,24,Short,FB,sympatric,sympatric,sympatric,SFB,SFB 9,C,12-Dec,347,0,1,NA,NA,NA
SFB,Folly Beach,Short,4,25,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 22,D,12-Dec,347,1,0,26,43,0
SFB,Folly Beach,Short,4,26,Tall,FB,allopatric,allopatric,sympatric,TFB,TFB 12,A,12-Dec,347,1,0,13,65,0
SFB,Folly Beach,Short,4,27,Short,FJ,sympatric,allopatric,allopatric,SFJ,SFJ 12,D,12-Dec,347,1,0,6,25,0
SFB,Folly Beach,Short,4,28,Short,FB,sympatric,sympatric,sympatric,SFB,SFB 25,B,12-Dec,347,1,0,12,45,1
SFB,Folly Beach,Short,4,29,Short,FB,sympatric,sympatric,sympatric,SFB,SFB 23,B,12-Dec,347,1,0,14,44,0
SFB,Folly Beach,Short,4,30,Tall,FB,allopatric,allopatric,sympatric,TFB,TFB 1,B,12-Dec,347,1,0,13,67,1
SFJ,Fort Johnson,Short,5,1,Short,FJ,sympatric,sympatric,sympatric,SFJ,SFJ 20,D,12-Dec,347,1,0,18,32,0
SFJ,Fort Johnson,Short,5,2,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 1,A,12-Dec,347,1,0,12,48,0
SFJ,Fort Johnson,Short,5,3,Tall,FJ,allopatric,allopatric,sympatric,TFJ,TFJ 13,A,12-Dec,347,0,1,NA,NA,NA
SFJ,Fort Johnson,Short,5,4,Tall,FJ,allopatric,allopatric,sympatric,TFJ,TFJ 9,C,12-Dec,347,0,1,NA,NA,NA
SFJ,Fort Johnson,Short,5,5,Short,FJ,sympatric,sympatric,sympatric,SFJ,SFJ 25,H,12-Dec,347,1,0,5,50,0
SFJ,Fort Johnson,Short,5,6,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 4,D,12-Dec,347,1,0,6,43,0
SFJ,Fort Johnson,Short,5,7,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 1,C,12-Dec,347,1,0,5,22,0
SFJ,Fort Johnson,Short,5,8,Short,FB,sympatric,allopatric,allopatric,SFB,SFB 6,E,12-Dec,347,1,0,6,29,0
SFJ,Fort Johnson,Short,5,9,Tall,FJ,allopatric,allopatric,sympatric,TFJ,TFJ 15,B,12-Dec,347,1,0,8,26,0
SFJ,Fort Johnson,Short,5,10,Short,FJ,sympatric,sympatric,sympatric,SFJ,SFJ 22,F,12-Dec,347,1,0,3,36,1
SFJ,Fort Johnson,Short,5,11,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 5,D,12-Dec,347,1,0,1,19.5,0
SFJ,Fort Johnson,Short,5,12,Tall,BI,allopatric,allopatric,allopatric,TBI,TBI 14,C,12-Dec,347,1,0,2,16,0
SFJ,Fort Johnson,Short,5,13,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 10,A,12-Dec,347,1,0,5,32,0
SFJ,Fort Johnson,Short,5,14,Short,BI,sympatric,allopatric,allopatric,SBI,SBI 16,G ,12-Dec,347,1,0,7,45,0
SFJ,Fort Johnson,Short,5,15,Tall,FJ,allopatric,allopatric,sympatric,TFJ,TFJ 24,D,12-Dec,347,1,0,7,45,0
SFJ,Fort Johnson,Short,5,16,Tall,FB,allopatric,allopatric,allopatric,TFB,TFB 7,C,12-Dec,347,1,0,5,24,0
SFJ,Fort Johnson,Short,5,17,Short,FJ,sympatric,sympatric,sympatric,SFJ,SFJ 8,F,12-Dec,347,1,0,1,14,0
