Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,SA- sitexzone,Genotype.Origin,Genotype.ID,Genotype.Rep,Week.to.death,Surivial_Dec,Status_Dec_survive=0
TFJ,Fort Johnson,Tall,1,8,Tall,FJ,sympatric,sympatric,TFJ,TFJ 9,F,30,1,0
TFJ,Fort Johnson,Tall,1,9,Short,BI,allopatric,allopatric,SBI,SBI 9,C,30,1,0
TFJ,Fort Johnson,Tall,1,10,Tall,FB,sympatric,allopatric,TFB,TFB 1,C,30,1,0
TFJ,Fort Johnson,Tall,1,11,Short,FB,allopatric,allopatric,SFB,SFB 25,A,14,0,1
TFJ,Fort Johnson,Tall,1,12,Short,BI,allopatric,allopatric,SBI,SBI 16,E,10,0,1
TFJ,Fort Johnson,Tall,1,13,Tall,BI,sympatric,allopatric,TBI,TBI 19,E,30,1,0
TFJ,Fort Johnson,Tall,1,14,Short,FJ,allopatric,allopatric,SFJ,SFJ 13,E,30,1,0
TFJ,Fort Johnson,Tall,1,15,Tall,FB,sympatric,allopatric,TFB,TFB 25,F,22,0,1
TFJ,Fort Johnson,Tall,1,16,Tall,BI,sympatric,allopatric,TBI,TBI 4,C,14,0,1
TFJ,Fort Johnson,Tall,1,17,Tall,FB,sympatric,allopatric,TFB,TFB 10,H,14,0,1
TFJ,Fort Johnson,Tall,1,18,Short,BI,allopatric,allopatric,SBI,SBI 20,A,4,0,1
TFJ,Fort Johnson,Tall,1,19,Short,FJ,allopatric,allopatric,SFJ,SFJ 6,H,30,1,0
TFJ,Fort Johnson,Tall,1,20,Tall,FJ,sympatric,sympatric,TFJ,TFJ 15,A,14,0,1
TFJ,Fort Johnson,Tall,1,21,Short,FB,allopatric,allopatric,SFB,SFB 23,D,4,0,0
TFJ,Fort Johnson,Tall,1,22,Tall,BI,sympatric,allopatric,TBI,TBI 14,A,10,0,1
TFJ,Fort Johnson,Tall,1,23,Short,BI,allopatric,allopatric,SBI,SBI 19,D,30,1,0
TFJ,Fort Johnson,Tall,1,24,Short,FJ,allopatric,allopatric,SFJ,SFJ 16,F,30,1,0
TFJ,Fort Johnson,Tall,1,25,Short,FJ,allopatric,allopatric,SFJ,SFJ 9,F,14,0,1
TFJ,Fort Johnson,Tall,1,26,Short,FB,allopatric,allopatric,SFB,SFB 6,B,14,0,1
TFJ,Fort Johnson,Tall,1,27,Tall,FB,sympatric,allopatric,TFB,TFB 7,G,30,1,0
TFJ,Fort Johnson,Tall,1,28,Short,FB,allopatric,allopatric,SFB,SFB 15,C,4,0,1
TFJ,Fort Johnson,Tall,1,29,Tall,BI,sympatric,allopatric,TBI,TBI 3,A,30,1,0
TFJ,Fort Johnson,Tall,1,30,Tall,FJ,sympatric,sympatric,TFJ,TFJ 16,Z,14,0,1
TFJ,Fort Johnson,Tall,2,1,Tall,FJ,sympatric,sympatric,TFJ,TFJ 5,A,14,0,1
TFJ,Fort Johnson,Tall,2,2,Tall,FJ,sympatric,sympatric,TFJ,TFJ 13,E,30,1,0
TFJ,Fort Johnson,Tall,2,3,Tall,FB,sympatric,allopatric,TFB,TFB 17,E,30,1,0
TFJ,Fort Johnson,Tall,2,4,Tall,FJ,sympatric,sympatric,TFJ,TFJ 1,C,30,1,0
TFJ,Fort Johnson,Tall,2,5,Tall,BI,sympatric,allopatric,TBI,TBI 21,F,30,1,0
TFJ,Fort Johnson,Tall,2,6,Tall,BI,sympatric,allopatric,TBI,TBI 11,B,30,1,0
TFJ,Fort Johnson,Tall,2,7,Tall,BI,sympatric,allopatric,TBI,TBI 6,E,30,1,0
TFJ,Fort Johnson,Tall,2,8,Short,FJ,allopatric,allopatric,SFJ,SFJ 20,B,30,1,0
TFJ,Fort Johnson,Tall,2,9,Short,FJ,allopatric,allopatric,SFJ,SFJ 12,E,30,1,0
TFJ,Fort Johnson,Tall,2,10,Short,BI,allopatric,allopatric,SBI,SBI 6,F,30,1,0
TFJ,Fort Johnson,Tall,2,11,Short,BI,allopatric,allopatric,SBI,SBI 7,E,30,1,0
TFJ,Fort Johnson,Tall,2,12,Short,FB,allopatric,allopatric,SFB,SFB 9,F,14,0,1
TFJ,Fort Johnson,Tall,2,13,Short,FB,allopatric,allopatric,SFB,SFB 11,F,30,1,0
TFJ,Fort Johnson,Tall,2,14,Short,FJ,allopatric,allopatric,SFJ,SFJ 8,E,30,1,0
TFJ,Fort Johnson,Tall,2,15,Short,FB,allopatric,allopatric,SFB,SFB 2,G,18,0,1
TFJ,Fort Johnson,Tall,2,16,Tall,FJ,sympatric,sympatric,TFJ,TFJ 24,E,30,1,0
TFJ,Fort Johnson,Tall,2,17,Short,BI,allopatric,allopatric,SBI,SBI 15,D,30,1,0
TFJ,Fort Johnson,Tall,2,18,Short,BI,allopatric,allopatric,SBI,SBI 1,F,10,0,1
TFJ,Fort Johnson,Tall,2,19,Tall,BI,sympatric,allopatric,TBI,TBI 1,G,30,1,0
TFJ,Fort Johnson,Tall,2,20,Short,FJ,allopatric,allopatric,SFJ,SFJ 25,B,30,1,0
TFJ,Fort Johnson,Tall,2,21,Short,FB,allopatric,allopatric,SFB,SFB 12,E,4,0,1
TFJ,Fort Johnson,Tall,2,22,Tall,FJ,sympatric,sympatric,TFJ,TFJ 19,F,30,1,0
TFJ,Fort Johnson,Tall,2,23,Short,BI,allopatric,allopatric,SBI,SBI 10,H,30,1,0
TFJ,Fort Johnson,Tall,2,24,Tall,FB,sympatric,allopatric,TFB,TFB 13,A,10,NA-alive in July,1
TFJ,Fort Johnson,Tall,2,25,Short,FB,allopatric,allopatric,SFB,SFB 4,A,10,NA - prior so maybe dead before,0
TFJ,Fort Johnson,Tall,2,26,Tall,FB,sympatric,allopatric,TFB,TFB 4,D,30,1,0
TFJ,Fort Johnson,Tall,2,27,Tall,FB,sympatric,allopatric,TFB,TFB 3,F,10,NA-alive in July,1
TFJ,Fort Johnson,Tall,2,28,Tall,BI,sympatric,allopatric,TBI,TBI 22,C,4,NA,0
TFJ,Fort Johnson,Tall,2,29,Tall,FB,sympatric,allopatric,TFB,TFB 3,E,14,NA,1
TFJ,Fort Johnson,Tall,2,30,Short,FJ,allopatric,allopatric,SFJ,SFJ 22,C,10,NA,1
TBI,Bowen's Island,Tall,1,1,Short,FJ,allopatric,,SFJ,SFJ 13,D,10,0,1
TBI,Bowen's Island,Tall,1,2,Short,FJ,allopatric,,SFJ,SFJ 7,B,10,0,1
TBI,Bowen's Island,Tall,1,3,Tall,BI,sympatric,,TBI,TBI 14,F,10,0,1
TBI,Bowen's Island,Tall,1,4,Tall,FB,sympatric,,TFB,TFB 7,H,18,0,1
TBI,Bowen's Island,Tall,1,5,Short,FJ,allopatric,,SFJ,SFJ 8,B,7,0,1
TBI,Bowen's Island,Tall,1,6,Short,FJ,allopatric,,SFJ,SFJ 22,G,7,0,1
TBI,Bowen's Island,Tall,1,7,Tall,BI,sympatric,,TBI,TBI 11,D,7,0,1
TBI,Bowen's Island,Tall,1,8,Short,BI,allopatric,,SBI,SBI 10,G,14,0,1
TBI,Bowen's Island,Tall,1,9,Short,FB,allopatric,,SFB,SFB 11,A,14,0,1
TBI,Bowen's Island,Tall,1,10,Tall,FJ,sympatric,,TFJ,TFJ 20,F,7,0,1
TBI,Bowen's Island,Tall,1,11,Short,BI,allopatric,,SBI,SBI 20,F,7,0,1
TBI,Bowen's Island,Tall,1,12,Short,FB,allopatric,,SFB,SFB 9,A,7,0,1
TBI,Bowen's Island,Tall,1,13,Short,FB,allopatric,,SFB,SFB 23,F,7,0,1
TBI,Bowen's Island,Tall,1,14,Tall,FJ,sympatric,,TFJ,TFJ 15,E,7,0,1
TBI,Bowen's Island,Tall,1,15,Short,BI,allopatric,,SBI,SBI 2,B,7,0,1
TBI,Bowen's Island,Tall,1,16,Short,BI,allopatric,,SBI,SBI 6,B,22,0,1
TBI,Bowen's Island,Tall,1,17,Tall,FJ,sympatric,,TFJ,TFJ 1,H,7,0,1
TBI,Bowen's Island,Tall,1,18,Tall,FJ,sympatric,,TFJ,TFJ 19,D,7,0,1
TBI,Bowen's Island,Tall,1,19,Short,FJ,allopatric,,SFJ,SFJ 6,G,7,0,1
TBI,Bowen's Island,Tall,1,20,Tall,FB,sympatric,,TFB,TFB 17,D,10,0,1
TBI,Bowen's Island,Tall,1,21,Tall,FB,sympatric,,TFB,TFB 10,F,10,0,1
TBI,Bowen's Island,Tall,1,22,Tall,BI,sympatric,,TBI,TBI 6,C,7,0,1
TBI,Bowen's Island,Tall,1,23,Tall,BI,sympatric,,TBI,TBI 1,B,10,0,1
TBI,Bowen's Island,Tall,1,24,Tall,FB,sympatric,,TFB,TFB 5,B,22,0,1
TBI,Bowen's Island,Tall,1,25,Tall,FB,sympatric,,TFB,TFB 12,D,4,0,1
TBI,Bowen's Island,Tall,1,26,Short,FB,allopatric,,SFB,SFB 15,B,10,0,1
TBI,Bowen's Island,Tall,1,27,Short,FB,allopatric,,SFB,SFB 6,F,7,0,1
TBI,Bowen's Island,Tall,1,28,Short,BI,allopatric,,SBI,SBI 7,D,7,0,1
TBI,Bowen's Island,Tall,1,29,Tall,FJ,sympatric,,TFJ,TFJ 17,E,4,0,1
TBI,Bowen's Island,Tall,1,30,Tall,FB,sympatric,,TFB,TFB 4,B,7,0,1
TBI,Bowen's Island,Tall,2,1,Short,FB,allopatric,,SFB,SFB 2,E,14,0,1
TBI,Bowen's Island,Tall,2,2,Tall,FJ,sympatric,,TFJ,TFJ 9,B,18,0,1
TBI,Bowen's Island,Tall,2,3,Short,FB,allopatric,,SFB,SFB 25,F,18,0,1
TBI,Bowen's Island,Tall,2,4,Short,BI,allopatric,,SBI,SBI 19,G,10,0,1
TBI,Bowen's Island,Tall,2,5,Tall,FB,sympatric,,TFB,TFB 1,D,7,0,1
TBI,Bowen's Island,Tall,2,6,Tall,BI,sympatric,,TBI,TBI 4,H,4,0,1
TBI,Bowen's Island,Tall,2,7,Short,FJ,allopatric,,SFJ,SFJ 20,E,18,0,1
TBI,Bowen's Island,Tall,2,8,Tall,FJ,sympatric,,TFJ,TFJ 24,C,7,0,1
TBI,Bowen's Island,Tall,2,9,Tall,FJ,sympatric,,TFJ,TFJ 16,G,7,0,1
TBI,Bowen's Island,Tall,2,10,Short,BI,allopatric,,SBI,SBI 16,A,7,0,1
TBI,Bowen's Island,Tall,2,11,Short,BI,allopatric,,SBI,SBI 15,G,7,0,1
TBI,Bowen's Island,Tall,2,12,Tall,FJ,sympatric,,TFJ,TFJ 13,C,7,0,1
TBI,Bowen's Island,Tall,2,13,Tall,FB,sympatric,,TFB,TFB 3,D,4,0,1
TBI,Bowen's Island,Tall,2,14,Tall,BI,sympatric,,TBI,TBI 17,C,4,0,1
TBI,Bowen's Island,Tall,2,15,Short,BI,allopatric,,SBI,SBI 1,G,18,0,1
TBI,Bowen's Island,Tall,2,16,Short,FJ,allopatric,,SFJ,SFJ 12,B,4,0,1
TBI,Bowen's Island,Tall,2,17,Short,FJ,allopatric,,SFJ,SFJ 16,E,4,0,1
TBI,Bowen's Island,Tall,2,18,Tall,BI,sympatric,,TBI,TBI 21,B,7,0,1
TBI,Bowen's Island,Tall,2,19,Tall,BI,sympatric,,TBI,TBI 3,H,7,0,1
TBI,Bowen's Island,Tall,2,20,Tall,BI,sympatric,,TBI,TBI 22,G,18,0,1
TBI,Bowen's Island,Tall,2,21,Short,FB,allopatric,,SFB,SFB 12,H,10,0,1
TBI,Bowen's Island,Tall,2,22,Short,FJ,allopatric,,SFJ,SFJ 25,G,10,0,1
TBI,Bowen's Island,Tall,2,23,Short,FB,allopatric,,SFB,SFB 4,F,7,0,1
TBI,Bowen's Island,Tall,2,24,Short,FJ,allopatric,,SFJ,SFJ 9,G,18,0,1
TBI,Bowen's Island,Tall,2,25,Tall,BI,sympatric,,TBI,TBI 19,F,7,0,1
TBI,Bowen's Island,Tall,2,26,Tall,FB,sympatric,,TFB,TFB 13,H,7,0,1
TBI,Bowen's Island,Tall,2,27,Short,BI,allopatric,,SBI,SBI 9,F,10,0,1
TBI,Bowen's Island,Tall,2,28,Short,FB,allopatric,,SFB,SFB 19,F,7,0,1
TBI,Bowen's Island,Tall,2,29,Tall,FB,sympatric,,TFB,TFB 25,G,7,0,1
TBI,Bowen's Island,Tall,2,30,Tall,FJ,sympatric,,TFJ,TFJ 5,H,7,0,1
