Field Site,Transplant Site,Transplant Zone,Transect,Plot #,Origin Zone,Origin Site,SA - zone,SA- sitexzone,Genotype.Origin,Genotype.ID,Genotype.Rep,Week.to.death,Surivial_Dec,Status_Dec_survive=0
SFJ,Fort Johnson,Short,1,9,Tall,FJ,allopatric,allopatric,TFJ,TFJ 15,B,30,1,0
SFJ,Fort Johnson,Short,1,10,Short,FJ,sympatric,sympatric,SFJ,SFJ 22,F,30,1,0
SFJ,Fort Johnson,Short,1,11,Tall,FB,allopatric,allopatric,TFB,TFB 5,D,30,1,0
SFJ,Fort Johnson,Short,1,12,Tall,BI,allopatric,allopatric,TBI,TBI 14,C,30,1,0
SFJ,Fort Johnson,Short,1,13,Short,BI,sympatric,allopatric,SBI,SBI 10,A,30,1,0
SFJ,Fort Johnson,Short,1,14,Short,BI,sympatric,allopatric,SBI,SBI 16,G ,30,1,0
SFJ,Fort Johnson,Short,1,15,Tall,FJ,allopatric,allopatric,TFJ,TFJ 24,D,30,1,0
SFJ,Fort Johnson,Short,1,16,Tall,FB,allopatric,allopatric,TFB,TFB 7,C,30,1,0
SFJ,Fort Johnson,Short,1,17,Short,FJ,sympatric,sympatric,SFJ,SFJ 8,F,30,1,0
SFJ,Fort Johnson,Short,1,18,Tall,BI,allopatric,allopatric,TBI,TBI 6,A,30,1,0
SFJ,Fort Johnson,Short,1,19,Tall,FJ,allopatric,allopatric,TFJ,TFJ 5,G ,30,1,0
SFJ,Fort Johnson,Short,1,20,Short,FJ,sympatric,sympatric,SFJ,SFJ 13,F,30,1,0
SFJ,Fort Johnson,Short,1,21,Tall,BI,allopatric,allopatric,TBI,TBI 11,C,30,1,0
SFJ,Fort Johnson,Short,1,22,Short,BI,sympatric,allopatric,SBI,SBI 20,C,4,0,1
SFJ,Fort Johnson,Short,1,23,Tall,FB,allopatric,allopatric,TFB,TFB 3,A,30,1,0
SFJ,Fort Johnson,Short,1,24,Short,FB,sympatric,allopatric,SFB,SFB 25,C,30,1,0
SFJ,Fort Johnson,Short,1,25,Tall,BI,allopatric,allopatric,TBI,TBI 1,A,30,1,0
SFJ,Fort Johnson,Short,1,26,Tall,BI,allopatric,allopatric,TBI,TBI 4,D,4,0,1
SFJ,Fort Johnson,Short,1,27,Tall,FB,allopatric,allopatric,TFB,TFB 4,A,30,1,0
SFJ,Fort Johnson,Short,1,28,Short,FB,sympatric,allopatric,SFB,SFB 12,F,30,1,0
SFJ,Fort Johnson,Short,1,29,Short,BI,sympatric,allopatric,SBI,SBI 6,G,4,Alive june 04,0
